Time_s,L5S1 (low back / sacrum),RLAKN (right knee),RASIS (right hip / pelvis),RLAMA (right ankle),RDIFT (right toe / forefoot)
0.812,1001.6604,512.812195,985.836487,208.462265,77.158409
0.816,1001.614258,514.305786,986.58606,205.833145,77.163513
0.82,1002.077759,515.432129,986.945862,202.674133,76.143791
0.824,1002.538086,516.668213,986.963135,199.299744,74.466949
0.828,1001.747009,518.00531,986.911438,195.871918,72.950424
0.832,1001.91333,519.00177,987.415283,192.765366,71.585609
0.836,1001.838379,519.9039310000001,987.573059,189.305161,70.190742
0.84,1001.236694,521.205627,987.16272,185.38768,68.839439
0.844,1000.775574,522.032898,987.339966,182.314194,67.630135
0.848,1000.73822,523.752808,985.875366,177.64592,66.776276
0.852,1000.917236,524.227661,987.536316,174.488266,65.684044
0.856,1000.830994,525.301514,986.739807,170.310318,63.881317
0.86,1001.446228,526.128052,988.660156,165.702927,62.301746
0.864,1000.183472,526.473694,987.786133,161.613586,61.455849
0.868,999.704285,526.888489,987.661926,158.092667,61.034172
0.872,999.566284,527.351868,987.378296,154.644318,59.425278
0.876,999.14093,528.089233,986.734009,151.036591,57.948013
0.88,998.924927,528.94165,986.507202,147.390884,57.152233
0.884,998.454773,528.388062,986.541382,143.722565,56.676727
0.888,998.174622,528.472961,985.162903,140.038956,56.345184
0.892,997.539063,528.525696,984.496094,136.314728,55.830841
0.896,996.222534,527.895325,984.356689,132.767197,55.64233
0.9,997.304688,528.451538,983.976379,129.561523,55.674335
0.904,997.016785,528.38324,983.772827,125.744591,55.644913
0.908,996.371094,527.810303,983.985718,122.463638,55.746399
0.912,996.674561,527.209961,983.199158,119.301865,55.317471
0.916,995.688477,526.50592,982.649658,115.975182,55.388447
0.92,994.826721,525.849426,981.544739,112.701439,56.338306
0.924,994.09259,525.216858,981.74292,109.653976,56.537708
0.928,993.967163,524.535339,981.622742,106.760864,57.581051
0.932,993.486084,523.300476,981.376343,104.333687,58.999889
0.936,992.397583,522.485046,980.898926,101.97403,60.598026
0.94,990.758667,521.681519,980.215698,99.371979,62.495907
0.944,990.969116,520.074585,979.604614,96.63961,60.357498
0.948,989.859558,518.13916,979.183594,94.480789,64.152374
0.952,990.579163,516.122437,978.600525,93.939285,67.023087
0.956,990.527344,514.694824,977.931091,91.915672,68.992195
0.96,990.240906,513.9820560000001,977.439697,90.870689,70.725418
0.964,990.270142,513.460205,976.833191,89.888245,73.696815
0.968,989.027283,511.244263,976.228271,88.835098,76.515625
0.972,989.424133,509.472961,975.790955,87.869644,78.918381
